linguagem,caso,tamanho_label,n,k,execucao,tempo_segundos,ordenado
python,melhor,pequena,1000,1000,1,0.000192100,True
python,melhor,pequena,1000,1000,2,0.000175200,True
python,melhor,pequena,1000,1000,3,0.000245700,True
python,melhor,pequena,1000,1000,4,0.000173700,True
python,melhor,pequena,1000,1000,5,0.000181500,True
python,melhor,pequena,1000,1000,6,0.000163000,True
python,melhor,pequena,1000,1000,7,0.000163800,True
python,melhor,pequena,1000,1000,8,0.000156200,True
python,melhor,pequena,1000,1000,9,0.000153500,True
python,melhor,pequena,1000,1000,10,0.000154800,True
python,melhor,pequena,1000,1000,11,0.000156100,True
python,melhor,pequena,1000,1000,12,0.000158100,True
python,melhor,pequena,1000,1000,13,0.000156600,True
python,melhor,pequena,1000,1000,14,0.000158800,True
python,melhor,pequena,1000,1000,15,0.000157300,True
python,melhor,pequena,1000,1000,16,0.000154100,True
python,melhor,pequena,1000,1000,17,0.000154400,True
python,melhor,pequena,1000,1000,18,0.000153000,True
python,melhor,pequena,1000,1000,19,0.000166800,True
python,melhor,pequena,1000,1000,20,0.000156700,True
python,melhor,pequena,1000,1000,21,0.000153800,True
python,melhor,pequena,1000,1000,22,0.000153200,True
python,melhor,pequena,1000,1000,23,0.000166100,True
python,melhor,pequena,1000,1000,24,0.000154100,True
python,melhor,pequena,1000,1000,25,0.000178800,True
python,melhor,pequena,1000,1000,26,0.000157400,True
python,melhor,pequena,1000,1000,27,0.000208400,True
python,melhor,pequena,1000,1000,28,0.000224500,True
python,melhor,pequena,1000,1000,29,0.000184600,True
python,melhor,pequena,1000,1000,30,0.000173700,True
python,medio,pequena,1000,1000,1,0.000172000,True
python,medio,pequena,1000,1000,2,0.000177400,True
python,medio,pequena,1000,1000,3,0.000169000,True
python,medio,pequena,1000,1000,4,0.000167000,True
python,medio,pequena,1000,1000,5,0.000166000,True
python,medio,pequena,1000,1000,6,0.000165900,True
python,medio,pequena,1000,1000,7,0.000166000,True
python,medio,pequena,1000,1000,8,0.000183500,True
python,medio,pequena,1000,1000,9,0.000173400,True
python,medio,pequena,1000,1000,10,0.000166200,True
python,medio,pequena,1000,1000,11,0.000204700,True
python,medio,pequena,1000,1000,12,0.000170200,True
python,medio,pequena,1000,1000,13,0.000168300,True
python,medio,pequena,1000,1000,14,0.000164900,True
python,medio,pequena,1000,1000,15,0.000166300,True
python,medio,pequena,1000,1000,16,0.000177900,True
python,medio,pequena,1000,1000,17,0.000165900,True
python,medio,pequena,1000,1000,18,0.000165500,True
python,medio,pequena,1000,1000,19,0.000168500,True
python,medio,pequena,1000,1000,20,0.000167600,True
python,medio,pequena,1000,1000,21,0.000168500,True
python,medio,pequena,1000,1000,22,0.000166900,True
python,medio,pequena,1000,1000,23,0.000204800,True
python,medio,pequena,1000,1000,24,0.000166000,True
