linguagem,cenario_k,n,k,execucao,tempo_segundos,ordenado
python,k_pequeno,100000,100,1,0.005161700,True
python,k_pequeno,100000,100,2,0.005754700,True
python,k_pequeno,100000,100,3,0.005374600,True
python,k_pequeno,100000,100,4,0.005799100,True
python,k_pequeno,100000,100,5,0.005527500,True
python,k_pequeno,100000,100,6,0.005190700,True
python,k_pequeno,100000,100,7,0.005535000,True
python,k_pequeno,100000,100,8,0.005404400,True
python,k_pequeno,100000,100,9,0.005689800,True
python,k_pequeno,100000,100,10,0.005292500,True
python,k_pequeno,100000,100,11,0.005548000,True
python,k_pequeno,100000,100,12,0.005479800,True
python,k_pequeno,100000,100,13,0.005506500,True
python,k_pequeno,100000,100,14,0.005638100,True
python,k_pequeno,100000,100,15,0.005496600,True
python,k_pequeno,100000,100,16,0.005322700,True
python,k_pequeno,100000,100,17,0.005528600,True
python,k_pequeno,100000,100,18,0.005826200,True
python,k_pequeno,100000,100,19,0.005638800,True
python,k_pequeno,100000,100,20,0.005762800,True
python,k_pequeno,100000,100,21,0.005478900,True
python,k_pequeno,100000,100,22,0.005844300,True
python,k_pequeno,100000,100,23,0.005494500,True
python,k_pequeno,100000,100,24,0.005362600,True
python,k_pequeno,100000,100,25,0.005755700,True
python,k_pequeno,100000,100,26,0.005445000,True
python,k_pequeno,100000,100,27,0.005480000,True
python,k_pequeno,100000,100,28,0.005475000,True
python,k_pequeno,100000,100,29,0.005714600,True
python,k_pequeno,100000,100,30,0.005481700,True
python,k_igual_n,100000,100000,1,0.015953300,True
python,k_igual_n,100000,100000,2,0.016229700,True
python,k_igual_n,100000,100000,3,0.016352100,True
python,k_igual_n,100000,100000,4,0.017065200,True
python,k_igual_n,100000,100000,5,0.016643800,True
python,k_igual_n,100000,100000,6,0.016111800,True
python,k_igual_n,100000,100000,7,0.016456200,True
python,k_igual_n,100000,100000,8,0.015828200,True
python,k_igual_n,100000,100000,9,0.016271200,True
python,k_igual_n,100000,100000,10,0.015929000,True
python,k_igual_n,100000,100000,11,0.015908000,True
python,k_igual_n,100000,100000,12,0.015894900,True
python,k_igual_n,100000,100000,13,0.016133200,True
python,k_igual_n,100000,100000,14,0.015947400,True
python,k_igual_n,100000,100000,15,0.016185200,True
python,k_igual_n,100000,100000,16,0.016660400,True
python,k_igual_n,100000,100000,17,0.016891500,True
python,k_igual_n,100000,100000,18,0.016197200,True
python,k_igual_n,100000,100000,19,0.016224000,True
python,k_igual_n,100000,100000,20,0.015884000,True
python,k_igual_n,100000,100000,21,0.016158900,True
python,k_igual_n,100000,100000,22,0.016506200,True
python,k_igual_n,100000,100000,23,0.015955500,True
python,k_igual_n,100000,100000,24,0.016234900,True
python,k_igual_n,100000,100000,25,0.016012900,True
python,k_igual_n,100000,100000,26,0.015782400,True
python,k_igual_n,100000,100000,27,0.015861600,True
python,k_igual_n,100000,100000,28,0.016077600,True
python,k_igual_n,100000,100000,29,0.018131300,True
python,k_igual_n,100000,100000,30,0.016059900,True
python,k_grande,100000,1000000,1,0.105598000,True
python,k_grande,100000,1000000,2,0.104244000,True
python,k_grande,100000,1000000,3,0.110153500,True
python,k_grande,100000,1000000,4,0.109483700,True
python,k_grande,100000,1000000,5,0.109085600,True
python,k_grande,100000,1000000,6,0.110451300,True
python,k_grande,100000,1000000,7,0.109157500,True
python,k_grande,100000,1000000,8,0.104692100,True
python,k_grande,100000,1000000,9,0.105408500,True
python,k_grande,100000,1000000,10,0.101742200,True
python,k_grande,100000,1000000,11,0.104141500,True
python,k_grande,100000,1000000,12,0.106153000,True
python,k_grande,100000,1000000,13,0.104583300,True
python,k_grande,100000,1000000,14,0.104806600,True
python,k_grande,100000,1000000,15,0.104957400,True
python,k_grande,100000,1000000,16,0.103645900,True
python,k_grande,100000,1000000,17,0.104348700,True
python,k_grande,100000,1000000,18,0.104865800,True
python,k_grande,100000,1000000,19,0.104152300,True
python,k_grande,100000,1000000,20,0.106659700,True
python,k_grande,100000,1000000,21,0.104212900,True
python,k_grande,100000,1000000,22,0.104437400,True
python,k_grande,100000,1000000,23,0.105727400,True
python,k_grande,100000,1000000,24,0.102406400,True
python,k_grande,100000,1000000,25,0.103960000,True
python,k_grande,100000,1000000,26,0.104749100,True
python,k_grande,100000,1000000,27,0.104412600,True
python,k_grande,100000,1000000,28,0.105968400,True
python,k_grande,100000,1000000,29,0.109825800,True
python,k_grande,100000,1000000,30,0.103186600,True
