linguagem,caso,tamanho_label,n,k,execucao,tempo_segundos,ordenado
rust,melhor,pequena,1000,1000,1,0.000010800,true
rust,melhor,pequena,1000,1000,2,0.000002500,true
rust,melhor,pequena,1000,1000,3,0.000002100,true
rust,melhor,pequena,1000,1000,4,0.000002100,true
rust,melhor,pequena,1000,1000,5,0.000002100,true
rust,melhor,pequena,1000,1000,6,0.000002200,true
rust,melhor,pequena,1000,1000,7,0.000002100,true
rust,melhor,pequena,1000,1000,8,0.000002100,true
rust,melhor,pequena,1000,1000,9,0.000002200,true
rust,melhor,pequena,1000,1000,10,0.000002100,true
rust,melhor,pequena,1000,1000,11,0.000002100,true
rust,melhor,pequena,1000,1000,12,0.000002200,true
rust,melhor,pequena,1000,1000,13,0.000002100,true
rust,melhor,pequena,1000,1000,14,0.000002100,true
rust,melhor,pequena,1000,1000,15,0.000002100,true
rust,melhor,pequena,1000,1000,16,0.000002100,true
rust,melhor,pequena,1000,1000,17,0.000002100,true
rust,melhor,pequena,1000,1000,18,0.000002100,true
rust,melhor,pequena,1000,1000,19,0.000002100,true
rust,melhor,pequena,1000,1000,20,0.000002100,true
rust,melhor,pequena,1000,1000,21,0.000002100,true
rust,melhor,pequena,1000,1000,22,0.000002100,true
rust,melhor,pequena,1000,1000,23,0.000002100,true
rust,melhor,pequena,1000,1000,24,0.000002000,true
rust,melhor,pequena,1000,1000,25,0.000002100,true
rust,melhor,pequena,1000,1000,26,0.000002100,true
rust,melhor,pequena,1000,1000,27,0.000002100,true
rust,melhor,pequena,1000,1000,28,0.000002100,true
rust,melhor,pequena,1000,1000,29,0.000002100,true
rust,melhor,pequena,1000,1000,30,0.000002200,true
rust,medio,pequena,1000,1000,1,0.000006000,true
rust,medio,pequena,1000,1000,2,0.000005900,true
rust,medio,pequena,1000,1000,3,0.000005700,true
rust,medio,pequena,1000,1000,4,0.000005600,true
rust,medio,pequena,1000,1000,5,0.000005700,true
rust,medio,pequena,1000,1000,6,0.000005800,true
rust,medio,pequena,1000,1000,7,0.000005900,true
rust,medio,pequena,1000,1000,8,0.000005800,true
rust,medio,pequena,1000,1000,9,0.000005800,true
rust,medio,pequena,1000,1000,10,0.000005900,true
rust,medio,pequena,1000,1000,11,0.000005700,true
rust,medio,pequena,1000,1000,12,0.000005800,true
rust,medio,pequena,1000,1000,13,0.000005900,true
rust,medio,pequena,1000,1000,14,0.000005600,true
rust,medio,pequena,1000,1000,15,0.000005900,true
rust,medio,pequena,1000,1000,16,0.000005700,true
rust,medio,pequena,1000,1000,17,0.000005700,true
rust,medio,pequena,1000,1000,18,0.000005600,true
rust,medio,pequena,1000,1000,19,0.000005700,true
rust,medio,pequena,1000,1000,20,0.000005500,true
rust,medio,pequena,1000,1000,21,0.000005600,true
rust,medio,pequena,1000,1000,22,0.000005600,true
rust,medio,pequena,1000,1000,23,0.000005600,true
rust,medio,pequena,1000,1000,24,0.000005700,true
rust,medio,pequena,1000,1000,25,0.000005800,true
rust,medio,pequena,1000,1000,26,0.000005600,true
rust,medio,pequena,1000,1000,27,0.000005700,true
rust,medio,pequena,1000,1000,28,0.000005800,true
rust,medio,pequena,1000,1000,29,0.000005600,true
rust,medio,pequena,1000,1000,30,0.000005700,true
rust,pior,pequena,1000,1000,1,0.000002100,true
rust,pior,pequena,1000,1000,2,0.000002100,true
rust,pior,pequena,1000,1000,3,0.000002100,true
rust,pior,pequena,1000,1000,4,0.000002000,true
rust,pior,pequena,1000,1000,5,0.000002100,true
rust,pior,pequena,1000,1000,6,0.000002100,true
rust,pior,pequena,1000,1000,7,0.000002000,true
rust,pior,pequena,1000,1000,8,0.000002100,true
rust,pior,pequena,1000,1000,9,0.000002100,true
rust,pior,pequena,1000,1000,10,0.000002000,true
rust,pior,pequena,1000,1000,11,0.000002000,true
rust,pior,pequena,1000,1000,12,0.000002100,true
rust,pior,pequena,1000,1000,13,0.000002000,true
rust,pior,pequena,1000,1000,14,0.000002100,true
rust,pior,pequena,1000,1000,15,0.000002000,true
rust,pior,pequena,1000,1000,16,0.000002100,true
rust,pior,pequena,1000,1000,17,0.000002000,true
rust,pior,pequena,1000,1000,18,0.000002100,true
rust,pior,pequena,1000,1000,19,0.000002000,true
rust,pior,pequena,1000,1000,20,0.000002100,true
rust,pior,pequena,1000,1000,21,0.000002100,true
rust,pior,pequena,1000,1000,22,0.000002000,true
rust,pior,pequena,1000,1000,23,0.000002100,true
rust,pior,pequena,1000,1000,24,0.000002000,true
rust,pior,pequena,1000,1000,25,0.000002100,true
rust,pior,pequena,1000,1000,26,0.000002000,true
rust,pior,pequena,1000,1000,27,0.000002000,true
rust,pior,pequena,1000,1000,28,0.000002100,true
rust,pior,pequena,1000,1000,29,0.000002100,true
rust,pior,pequena,1000,1000,30,0.000002000,true
rust,melhor,media,10000,10000,1,0.000043300,true
rust,melhor,media,10000,10000,2,0.000020200,true
rust,melhor,media,10000,10000,3,0.000020200,true
rust,melhor,media,10000,10000,4,0.000020000,true
rust,melhor,media,10000,10000,5,0.000020100,true
rust,melhor,media,10000,10000,6,0.000020200,true
rust,melhor,media,10000,10000,7,0.000020300,true
rust,melhor,media,10000,10000,8,0.000020200,true
rust,melhor,media,10000,10000,9,0.000020300,true
rust,melhor,media,10000,10000,10,0.000027800,true
rust,melhor,media,10000,10000,11,0.000020200,true
