linguagem,cenario_k,n,k,execucao,tempo_segundos,ordenado
rust,k_pequeno,100000,100,1,0.000183200,true
rust,k_pequeno,100000,100,2,0.000172800,true
rust,k_pequeno,100000,100,3,0.000166800,true
rust,k_pequeno,100000,100,4,0.000107900,true
rust,k_pequeno,100000,100,5,0.000090600,true
rust,k_pequeno,100000,100,6,0.000092000,true
rust,k_pequeno,100000,100,7,0.000092400,true
rust,k_pequeno,100000,100,8,0.000089400,true
rust,k_pequeno,100000,100,9,0.000090800,true
rust,k_pequeno,100000,100,10,0.000091800,true
rust,k_pequeno,100000,100,11,0.000094100,true
rust,k_pequeno,100000,100,12,0.000098000,true
rust,k_pequeno,100000,100,13,0.000176300,true
rust,k_pequeno,100000,100,14,0.000138700,true
rust,k_pequeno,100000,100,15,0.000091000,true
rust,k_pequeno,100000,100,16,0.000111500,true
rust,k_pequeno,100000,100,17,0.000094200,true
rust,k_pequeno,100000,100,18,0.000090100,true
rust,k_pequeno,100000,100,19,0.000113100,true
rust,k_pequeno,100000,100,20,0.000089700,true
rust,k_pequeno,100000,100,21,0.000097500,true
rust,k_pequeno,100000,100,22,0.000095600,true
rust,k_pequeno,100000,100,23,0.000090600,true
rust,k_pequeno,100000,100,24,0.000100400,true
rust,k_pequeno,100000,100,25,0.000090100,true
rust,k_pequeno,100000,100,26,0.000088700,true
rust,k_pequeno,100000,100,27,0.000091200,true
rust,k_pequeno,100000,100,28,0.000089700,true
rust,k_pequeno,100000,100,29,0.000090400,true
rust,k_pequeno,100000,100,30,0.000102300,true
rust,k_igual_n,100000,100000,1,0.000818500,true
rust,k_igual_n,100000,100000,2,0.000593500,true
rust,k_igual_n,100000,100000,3,0.000592600,true
rust,k_igual_n,100000,100000,4,0.000578500,true
rust,k_igual_n,100000,100000,5,0.000663000,true
rust,k_igual_n,100000,100000,6,0.000639700,true
rust,k_igual_n,100000,100000,7,0.000592300,true
rust,k_igual_n,100000,100000,8,0.000607600,true
rust,k_igual_n,100000,100000,9,0.000587300,true
rust,k_igual_n,100000,100000,10,0.000646800,true
rust,k_igual_n,100000,100000,11,0.000652100,true
rust,k_igual_n,100000,100000,12,0.000718000,true
rust,k_igual_n,100000,100000,13,0.000613200,true
rust,k_igual_n,100000,100000,14,0.000707400,true
rust,k_igual_n,100000,100000,15,0.000643500,true
rust,k_igual_n,100000,100000,16,0.000599900,true
rust,k_igual_n,100000,100000,17,0.000590900,true
rust,k_igual_n,100000,100000,18,0.000887700,true
rust,k_igual_n,100000,100000,19,0.000869500,true
rust,k_igual_n,100000,100000,20,0.000650300,true
rust,k_igual_n,100000,100000,21,0.000622900,true
rust,k_igual_n,100000,100000,22,0.000636700,true
rust,k_igual_n,100000,100000,23,0.000608000,true
rust,k_igual_n,100000,100000,24,0.000653300,true
rust,k_igual_n,100000,100000,25,0.000642600,true
rust,k_igual_n,100000,100000,26,0.000643300,true
rust,k_igual_n,100000,100000,27,0.000575200,true
rust,k_igual_n,100000,100000,28,0.000704000,true
rust,k_igual_n,100000,100000,29,0.000883700,true
rust,k_igual_n,100000,100000,30,0.000858500,true
rust,k_grande,100000,1000000,1,0.004756700,true
rust,k_grande,100000,1000000,2,0.005267800,true
rust,k_grande,100000,1000000,3,0.005345200,true
rust,k_grande,100000,1000000,4,0.004955100,true
rust,k_grande,100000,1000000,5,0.004743300,true
rust,k_grande,100000,1000000,6,0.004659400,true
rust,k_grande,100000,1000000,7,0.005189100,true
rust,k_grande,100000,1000000,8,0.005770600,true
rust,k_grande,100000,1000000,9,0.005011200,true
rust,k_grande,100000,1000000,10,0.005609600,true
rust,k_grande,100000,1000000,11,0.004941300,true
rust,k_grande,100000,1000000,12,0.006190800,true
rust,k_grande,100000,1000000,13,0.005679300,true
rust,k_grande,100000,1000000,14,0.006304800,true
rust,k_grande,100000,1000000,15,0.004877600,true
rust,k_grande,100000,1000000,16,0.005829400,true
rust,k_grande,100000,1000000,17,0.005619700,true
rust,k_grande,100000,1000000,18,0.004963100,true
rust,k_grande,100000,1000000,19,0.005152300,true
rust,k_grande,100000,1000000,20,0.005000500,true
rust,k_grande,100000,1000000,21,0.005429800,true
rust,k_grande,100000,1000000,22,0.005243600,true
rust,k_grande,100000,1000000,23,0.005463900,true
rust,k_grande,100000,1000000,24,0.006828900,true
rust,k_grande,100000,1000000,25,0.005747200,true
rust,k_grande,100000,1000000,26,0.005538000,true
rust,k_grande,100000,1000000,27,0.006305000,true
rust,k_grande,100000,1000000,28,0.005820800,true
rust,k_grande,100000,1000000,29,0.008121400,true
rust,k_grande,100000,1000000,30,0.006295800,true
