linguagem,caso,tamanho_label,n,k,execucao,tempo_segundos,ordenado
python,melhor,pequena,1000,1000,1,0.000164200,True
python,melhor,pequena,1000,1000,2,0.000178900,True
python,melhor,pequena,1000,1000,3,0.000184000,True
python,melhor,pequena,1000,1000,4,0.000149500,True
python,melhor,pequena,1000,1000,5,0.000147700,True
python,melhor,pequena,1000,1000,6,0.000146400,True
python,melhor,pequena,1000,1000,7,0.000148300,True
python,melhor,pequena,1000,1000,8,0.000147500,True
python,melhor,pequena,1000,1000,9,0.000147500,True
python,melhor,pequena,1000,1000,10,0.000146700,True
python,melhor,pequena,1000,1000,11,0.000149800,True
python,melhor,pequena,1000,1000,12,0.000196100,True
python,melhor,pequena,1000,1000,13,0.000185800,True
python,melhor,pequena,1000,1000,14,0.000183900,True
python,melhor,pequena,1000,1000,15,0.000146200,True
python,melhor,pequena,1000,1000,16,0.000145500,True
python,melhor,pequena,1000,1000,17,0.000146900,True
python,melhor,pequena,1000,1000,18,0.000145900,True
python,melhor,pequena,1000,1000,19,0.000155600,True
python,melhor,pequena,1000,1000,20,0.000147200,True
python,melhor,pequena,1000,1000,21,0.000146600,True
python,melhor,pequena,1000,1000,22,0.000146600,True
python,melhor,pequena,1000,1000,23,0.000146500,True
python,melhor,pequena,1000,1000,24,0.000147000,True
python,melhor,pequena,1000,1000,25,0.000145500,True
python,melhor,pequena,1000,1000,26,0.000147200,True
python,melhor,pequena,1000,1000,27,0.000148600,True
python,melhor,pequena,1000,1000,28,0.000152600,True
python,melhor,pequena,1000,1000,29,0.000149900,True
python,melhor,pequena,1000,1000,30,0.000148400,True
python,medio,pequena,1000,1000,1,0.000160300,True
python,medio,pequena,1000,1000,2,0.000159700,True
python,medio,pequena,1000,1000,3,0.000166400,True
python,medio,pequena,1000,1000,4,0.000160100,True
python,medio,pequena,1000,1000,5,0.000163900,True
python,medio,pequena,1000,1000,6,0.000228800,True
python,medio,pequena,1000,1000,7,0.000204100,True
python,medio,pequena,1000,1000,8,0.000157800,True
python,medio,pequena,1000,1000,9,0.000169100,True
python,medio,pequena,1000,1000,10,0.000156400,True
python,medio,pequena,1000,1000,11,0.000175400,True
python,medio,pequena,1000,1000,12,0.000165000,True
python,medio,pequena,1000,1000,13,0.000180100,True
python,medio,pequena,1000,1000,14,0.000155400,True
python,medio,pequena,1000,1000,15,0.000159400,True
python,medio,pequena,1000,1000,16,0.000154800,True
python,medio,pequena,1000,1000,17,0.000153300,True
python,medio,pequena,1000,1000,18,0.000160700,True
python,medio,pequena,1000,1000,19,0.000153900,True
python,medio,pequena,1000,1000,20,0.000155300,True
python,medio,pequena,1000,1000,21,0.000156200,True
python,medio,pequena,1000,1000,22,0.000156300,True
python,medio,pequena,1000,1000,23,0.000157600,True
python,medio,pequena,1000,1000,24,0.000156100,True
python,medio,pequena,1000,1000,25,0.000156000,True
python,medio,pequena,1000,1000,26,0.000154300,True
python,medio,pequena,1000,1000,27,0.000154700,True
python,medio,pequena,1000,1000,28,0.000155400,True
python,medio,pequena,1000,1000,29,0.000154700,True
python,medio,pequena,1000,1000,30,0.000154900,True
python,pior,pequena,1000,1000,1,0.000148800,True
python,pior,pequena,1000,1000,2,0.000146700,True
python,pior,pequena,1000,1000,3,0.000145300,True
python,pior,pequena,1000,1000,4,0.000145200,True
python,pior,pequena,1000,1000,5,0.000145500,True
python,pior,pequena,1000,1000,6,0.000159700,True
python,pior,pequena,1000,1000,7,0.000162500,True
python,pior,pequena,1000,1000,8,0.000148000,True
python,pior,pequena,1000,1000,9,0.000147400,True
python,pior,pequena,1000,1000,10,0.000148500,True
python,pior,pequena,1000,1000,11,0.000269700,True
python,pior,pequena,1000,1000,12,0.000286000,True
python,pior,pequena,1000,1000,13,0.000270100,True
python,pior,pequena,1000,1000,14,0.000273700,True
python,pior,pequena,1000,1000,15,0.000268700,True
python,pior,pequena,1000,1000,16,0.000266300,True
python,pior,pequena,1000,1000,17,0.000280400,True
python,pior,pequena,1000,1000,18,0.000270900,True
python,pior,pequena,1000,1000,19,0.000270200,True
python,pior,pequena,1000,1000,20,0.000268100,True
python,pior,pequena,1000,1000,21,0.000268900,True
python,pior,pequena,1000,1000,22,0.000283300,True
python,pior,pequena,1000,1000,23,0.000270800,True
python,pior,pequena,1000,1000,24,0.000265700,True
python,pior,pequena,1000,1000,25,0.000268300,True
python,pior,pequena,1000,1000,26,0.000269500,True
python,pior,pequena,1000,1000,27,0.000277300,True
python,pior,pequena,1000,1000,28,0.000264900,True
python,pior,pequena,1000,1000,29,0.000271800,True
python,pior,pequena,1000,1000,30,0.000269400,True
python,melhor,media,10000,10000,1,0.002542400,True
python,melhor,media,10000,10000,2,0.001513400,True
python,melhor,media,10000,10000,3,0.001921200,True
python,melhor,media,10000,10000,4,0.001473700,True
python,melhor,media,10000,10000,5,0.001471900,True
python,melhor,media,10000,10000,6,0.001473000,True
python,melhor,media,10000,10000,7,0.001491800,True
python,melhor,media,10000,10000,8,0.001895000,True
python,melhor,media,10000,10000,9,0.002214000,True
python,melhor,media,10000,10000,10,0.002610000,True
python,melhor,media,10000,10000,11,0.002697200,True
python,melhor,media,10000,10000,12,0.002634800,True
python,melhor,media,10000,10000,13,0.002299400,True
python,melhor,media,10000,10000,14,0.001505500,True
python,melhor,media,10000,10000,15,0.002712300,True
python,melhor,media,10000,10000,16,0.001939600,True
python,melhor,media,10000,10000,17,0.001846900,True
python,melhor,media,10000,10000,18,0.001476700,True
python,melhor,media,10000,10000,19,0.002626600,True
python,melhor,media,10000,10000,20,0.002621200,True
python,melhor,media,10000,10000,21,0.002593100,True
python,melhor,media,10000,10000,22,0.002252900,True
python,melhor,media,10000,10000,23,0.002619900,True
python,melhor,media,10000,10000,24,0.002733800,True
python,melhor,media,10000,10000,25,0.001488600,True
python,melhor,media,10000,10000,26,0.001462800,True
python,melhor,media,10000,10000,27,0.001466100,True
python,melhor,media,10000,10000,28,0.001571700,True
python,melhor,media,10000,10000,29,0.002474500,True
python,melhor,media,10000,10000,30,0.001553500,True
python,medio,media,10000,10000,1,0.001524000,True
python,medio,media,10000,10000,2,0.001637100,True
python,medio,media,10000,10000,3,0.001535600,True
python,medio,media,10000,10000,4,0.001495900,True
python,medio,media,10000,10000,5,0.001718400,True
python,medio,media,10000,10000,6,0.002321200,True
python,medio,media,10000,10000,7,0.001528400,True
python,medio,media,10000,10000,8,0.001710100,True
python,medio,media,10000,10000,9,0.001499100,True
python,medio,media,10000,10000,10,0.001529000,True
python,medio,media,10000,10000,11,0.001740200,True
python,medio,media,10000,10000,12,0.001528500,True
python,medio,media,10000,10000,13,0.001517300,True
python,medio,media,10000,10000,14,0.001517900,True
python,medio,media,10000,10000,15,0.001577200,True
python,medio,media,10000,10000,16,0.001509600,True
python,medio,media,10000,10000,17,0.001586400,True
python,medio,media,10000,10000,18,0.001522400,True
python,medio,media,10000,10000,19,0.001508600,True
python,medio,media,10000,10000,20,0.001505100,True
python,medio,media,10000,10000,21,0.001863500,True
python,medio,media,10000,10000,22,0.001514900,True
python,medio,media,10000,10000,23,0.001505000,True
python,medio,media,10000,10000,24,0.001529000,True
python,medio,media,10000,10000,25,0.001644800,True
python,medio,media,10000,10000,26,0.001506100,True
python,medio,media,10000,10000,27,0.001531700,True
python,medio,media,10000,10000,28,0.001523400,True
python,medio,media,10000,10000,29,0.001555600,True
python,medio,media,10000,10000,30,0.001540500,True
python,pior,media,10000,10000,1,0.001486900,True
python,pior,media,10000,10000,2,0.001477600,True
python,pior,media,10000,10000,3,0.001470700,True
python,pior,media,10000,10000,4,0.001469500,True
python,pior,media,10000,10000,5,0.001536600,True
python,pior,media,10000,10000,6,0.001469700,True
python,pior,media,10000,10000,7,0.001499200,True
python,pior,media,10000,10000,8,0.001463600,True
python,pior,media,10000,10000,9,0.001465500,True
python,pior,media,10000,10000,10,0.001472700,True
python,pior,media,10000,10000,11,0.001478600,True
python,pior,media,10000,10000,12,0.001563400,True
python,pior,media,10000,10000,13,0.001505900,True
python,pior,media,10000,10000,14,0.001470000,True
python,pior,media,10000,10000,15,0.001469900,True
python,pior,media,10000,10000,16,0.001469500,True
python,pior,media,10000,10000,17,0.001489700,True
python,pior,media,10000,10000,18,0.001522700,True
python,pior,media,10000,10000,19,0.001483000,True
python,pior,media,10000,10000,20,0.001471300,True
python,pior,media,10000,10000,21,0.001461500,True
python,pior,media,10000,10000,22,0.001467200,True
python,pior,media,10000,10000,23,0.001464800,True
python,pior,media,10000,10000,24,0.001552700,True
python,pior,media,10000,10000,25,0.001512000,True
python,pior,media,10000,10000,26,0.001443400,True
python,pior,media,10000,10000,27,0.001436900,True
python,pior,media,10000,10000,28,0.001450600,True
python,pior,media,10000,10000,29,0.001444500,True
