linguagem,caso,tamanho_label,n,k,execucao,tempo_segundos,ordenado
rust,melhor,pequena,1000,1000,1,0.000037100,true
rust,melhor,pequena,1000,1000,2,0.000032700,true
rust,melhor,pequena,1000,1000,3,0.000032300,true
rust,melhor,pequena,1000,1000,4,0.000032200,true
rust,melhor,pequena,1000,1000,5,0.000032400,true
rust,melhor,pequena,1000,1000,6,0.000031900,true
rust,melhor,pequena,1000,1000,7,0.000031800,true
rust,melhor,pequena,1000,1000,8,0.000032200,true
rust,melhor,pequena,1000,1000,9,0.000031600,true
rust,melhor,pequena,1000,1000,10,0.000031700,true
rust,melhor,pequena,1000,1000,11,0.000032300,true
rust,melhor,pequena,1000,1000,12,0.000032300,true
rust,melhor,pequena,1000,1000,13,0.000031500,true
rust,melhor,pequena,1000,1000,14,0.000031900,true
rust,melhor,pequena,1000,1000,15,0.000032000,true
rust,melhor,pequena,1000,1000,16,0.000032100,true
rust,melhor,pequena,1000,1000,17,0.000032100,true
rust,melhor,pequena,1000,1000,18,0.000031900,true
rust,melhor,pequena,1000,1000,19,0.000032400,true
rust,melhor,pequena,1000,1000,20,0.000032500,true
rust,melhor,pequena,1000,1000,21,0.000031900,true
rust,melhor,pequena,1000,1000,22,0.000031400,true
rust,melhor,pequena,1000,1000,23,0.000032200,true
rust,melhor,pequena,1000,1000,24,0.000032000,true
rust,melhor,pequena,1000,1000,25,0.000031700,true
rust,melhor,pequena,1000,1000,26,0.000032000,true
rust,melhor,pequena,1000,1000,27,0.000031900,true
rust,melhor,pequena,1000,1000,28,0.000031900,true
rust,melhor,pequena,1000,1000,29,0.000032200,true
rust,melhor,pequena,1000,1000,30,0.000031600,true
rust,medio,pequena,1000,1000,1,0.000040600,true
rust,medio,pequena,1000,1000,2,0.000040600,true
rust,medio,pequena,1000,1000,3,0.000039700,true
rust,medio,pequena,1000,1000,4,0.000039600,true
rust,medio,pequena,1000,1000,5,0.000039200,true
rust,medio,pequena,1000,1000,6,0.000039900,true
rust,medio,pequena,1000,1000,7,0.000040200,true
rust,medio,pequena,1000,1000,8,0.000040400,true
rust,medio,pequena,1000,1000,9,0.000040000,true
rust,medio,pequena,1000,1000,10,0.000040200,true
rust,medio,pequena,1000,1000,11,0.000039800,true
rust,medio,pequena,1000,1000,12,0.000041100,true
rust,medio,pequena,1000,1000,13,0.000040700,true
rust,medio,pequena,1000,1000,14,0.000040200,true
rust,medio,pequena,1000,1000,15,0.000040400,true
rust,medio,pequena,1000,1000,16,0.000040900,true
rust,medio,pequena,1000,1000,17,0.000041100,true
rust,medio,pequena,1000,1000,18,0.000040900,true
rust,medio,pequena,1000,1000,19,0.000040800,true
rust,medio,pequena,1000,1000,20,0.000040700,true
rust,medio,pequena,1000,1000,21,0.000040500,true
rust,medio,pequena,1000,1000,22,0.000040500,true
rust,medio,pequena,1000,1000,23,0.000040800,true
rust,medio,pequena,1000,1000,24,0.000040600,true
rust,medio,pequena,1000,1000,25,0.000040800,true
rust,medio,pequena,1000,1000,26,0.000040200,true
rust,medio,pequena,1000,1000,27,0.000039400,true
rust,medio,pequena,1000,1000,28,0.000040300,true
rust,medio,pequena,1000,1000,29,0.000040400,true
rust,medio,pequena,1000,1000,30,0.000040500,true
rust,pior,pequena,1000,1000,1,0.000031900,true
rust,pior,pequena,1000,1000,2,0.000031800,true
rust,pior,pequena,1000,1000,3,0.000031900,true
rust,pior,pequena,1000,1000,4,0.000031700,true
rust,pior,pequena,1000,1000,5,0.000031900,true
rust,pior,pequena,1000,1000,6,0.000032300,true
rust,pior,pequena,1000,1000,7,0.000032200,true
rust,pior,pequena,1000,1000,8,0.000032000,true
rust,pior,pequena,1000,1000,9,0.000031900,true
rust,pior,pequena,1000,1000,10,0.000032300,true
rust,pior,pequena,1000,1000,11,0.000031800,true
rust,pior,pequena,1000,1000,12,0.000032100,true
rust,pior,pequena,1000,1000,13,0.000035400,true
rust,pior,pequena,1000,1000,14,0.000032500,true
rust,pior,pequena,1000,1000,15,0.000032900,true
rust,pior,pequena,1000,1000,16,0.000031800,true
rust,pior,pequena,1000,1000,17,0.000032400,true
rust,pior,pequena,1000,1000,18,0.000031900,true
rust,pior,pequena,1000,1000,19,0.000032000,true
rust,pior,pequena,1000,1000,20,0.000031800,true
rust,pior,pequena,1000,1000,21,0.000031900,true
rust,pior,pequena,1000,1000,22,0.000031900,true
rust,pior,pequena,1000,1000,23,0.000031800,true
rust,pior,pequena,1000,1000,24,0.000031700,true
rust,pior,pequena,1000,1000,25,0.000031900,true
rust,pior,pequena,1000,1000,26,0.000031800,true
rust,pior,pequena,1000,1000,27,0.000033600,true
rust,pior,pequena,1000,1000,28,0.000032100,true
rust,pior,pequena,1000,1000,29,0.000032000,true
rust,pior,pequena,1000,1000,30,0.000032100,true
rust,melhor,media,10000,10000,1,0.000356900,true
rust,melhor,media,10000,10000,2,0.000356900,true
rust,melhor,media,10000,10000,3,0.000350700,true
rust,melhor,media,10000,10000,4,0.000353000,true
rust,melhor,media,10000,10000,5,0.000347900,true
rust,melhor,media,10000,10000,6,0.000347900,true
rust,melhor,media,10000,10000,7,0.000355600,true
rust,melhor,media,10000,10000,8,0.000351000,true
rust,melhor,media,10000,10000,9,0.000351700,true
rust,melhor,media,10000,10000,10,0.000351900,true
rust,melhor,media,10000,10000,11,0.000366000,true
rust,melhor,media,10000,10000,12,0.000372900,true
rust,melhor,media,10000,10000,13,0.000369800,true
rust,melhor,media,10000,10000,14,0.000547200,true
rust,melhor,media,10000,10000,15,0.000545400,true
rust,melhor,media,10000,10000,16,0.000587400,true
rust,melhor,media,10000,10000,17,0.000542100,true
rust,melhor,media,10000,10000,18,0.000579600,true
rust,melhor,media,10000,10000,19,0.000597800,true
rust,melhor,media,10000,10000,20,0.000566300,true
rust,melhor,media,10000,10000,21,0.000379900,true
rust,melhor,media,10000,10000,22,0.000367200,true
rust,melhor,media,10000,10000,23,0.000365800,true
rust,melhor,media,10000,10000,24,0.000364300,true
rust,melhor,media,10000,10000,25,0.000361200,true
rust,melhor,media,10000,10000,26,0.000359700,true
rust,melhor,media,10000,10000,27,0.000365800,true
rust,melhor,media,10000,10000,28,0.000360400,true
rust,melhor,media,10000,10000,29,0.000417100,true
rust,melhor,media,10000,10000,30,0.000361800,true
rust,medio,media,10000,10000,1,0.000460400,true
rust,medio,media,10000,10000,2,0.000447000,true
rust,medio,media,10000,10000,3,0.000438100,true
rust,medio,media,10000,10000,4,0.000448300,true
rust,medio,media,10000,10000,5,0.000580400,true
rust,medio,media,10000,10000,6,0.000478500,true
rust,medio,media,10000,10000,7,0.000439100,true
rust,medio,media,10000,10000,8,0.000435900,true
rust,medio,media,10000,10000,9,0.000442700,true
rust,medio,media,10000,10000,10,0.000440600,true
rust,medio,media,10000,10000,11,0.000441400,true
rust,medio,media,10000,10000,12,0.000440600,true
rust,medio,media,10000,10000,13,0.000434700,true
rust,medio,media,10000,10000,14,0.000438900,true
rust,medio,media,10000,10000,15,0.000440800,true
rust,medio,media,10000,10000,16,0.000449900,true
rust,medio,media,10000,10000,17,0.000450600,true
rust,medio,media,10000,10000,18,0.000433500,true
rust,medio,media,10000,10000,19,0.000433500,true
rust,medio,media,10000,10000,20,0.000447200,true
rust,medio,media,10000,10000,21,0.000442800,true
rust,medio,media,10000,10000,22,0.000441800,true
rust,medio,media,10000,10000,23,0.000460200,true
rust,medio,media,10000,10000,24,0.000454500,true
rust,medio,media,10000,10000,25,0.000452000,true
rust,medio,media,10000,10000,26,0.000524700,true
rust,medio,media,10000,10000,27,0.000439700,true
rust,medio,media,10000,10000,28,0.000446400,true
rust,medio,media,10000,10000,29,0.000443200,true
rust,medio,media,10000,10000,30,0.000431400,true
rust,pior,media,10000,10000,1,0.000359600,true
rust,pior,media,10000,10000,2,0.000353400,true
rust,pior,media,10000,10000,3,0.000352600,true
rust,pior,media,10000,10000,4,0.000356200,true
rust,pior,media,10000,10000,5,0.000352000,true
rust,pior,media,10000,10000,6,0.000349700,true
rust,pior,media,10000,10000,7,0.000356700,true
rust,pior,media,10000,10000,8,0.000348000,true
rust,pior,media,10000,10000,9,0.000352000,true
rust,pior,media,10000,10000,10,0.000359700,true
rust,pior,media,10000,10000,11,0.000351400,true
rust,pior,media,10000,10000,12,0.000350800,true
rust,pior,media,10000,10000,13,0.000354000,true
rust,pior,media,10000,10000,14,0.000351000,true
rust,pior,media,10000,10000,15,0.000354000,true
rust,pior,media,10000,10000,16,0.000358500,true
rust,pior,media,10000,10000,17,0.000354000,true
rust,pior,media,10000,10000,18,0.000352000,true
rust,pior,media,10000,10000,19,0.000357900,true
rust,pior,media,10000,10000,20,0.000357800,true
rust,pior,media,10000,10000,21,0.000353400,true
rust,pior,media,10000,10000,22,0.000540000,true
rust,pior,media,10000,10000,23,0.000381600,true
rust,pior,media,10000,10000,24,0.000402300,true
rust,pior,media,10000,10000,25,0.000357700,true
rust,pior,media,10000,10000,26,0.000361900,true
rust,pior,media,10000,10000,27,0.000363700,true
rust,pior,media,10000,10000,28,0.000354500,true
rust,pior,media,10000,10000,29,0.000361800,true
rust,pior,media,10000,10000,30,0.000363600,true
rust,melhor,grande,1000000,1000000,1,0.035076500,true
rust,melhor,grande,1000000,1000000,2,0.036051200,true
rust,melhor,grande,1000000,1000000,3,0.035650900,true
rust,melhor,grande,1000000,1000000,4,0.035872600,true
rust,melhor,grande,1000000,1000000,5,0.035369500,true
rust,melhor,grande,1000000,1000000,6,0.035689000,true
rust,melhor,grande,1000000,1000000,7,0.035938900,true
rust,melhor,grande,1000000,1000000,8,0.035853500,true
rust,melhor,grande,1000000,1000000,9,0.036693800,true
rust,melhor,grande,1000000,1000000,10,0.036259800,true
rust,melhor,grande,1000000,1000000,11,0.035866800,true
rust,melhor,grande,1000000,1000000,12,0.035685400,true
rust,melhor,grande,1000000,1000000,13,0.035552300,true
rust,melhor,grande,1000000,1000000,14,0.035092700,true
rust,melhor,grande,1000000,1000000,15,0.036077900,true
rust,melhor,grande,1000000,1000000,16,0.036299800,true
rust,melhor,grande,1000000,1000000,17,0.035886000,true
rust,melhor,grande,1000000,1000000,18,0.036557900,true
rust,melhor,grande,1000000,1000000,19,0.035988900,true
rust,melhor,grande,1000000,1000000,20,0.037000800,true
rust,melhor,grande,1000000,1000000,21,0.035663100,true
rust,melhor,grande,1000000,1000000,22,0.035885800,true
rust,melhor,grande,1000000,1000000,23,0.036593800,true
rust,melhor,grande,1000000,1000000,24,0.035638400,true
rust,melhor,grande,1000000,1000000,25,0.036046200,true
rust,melhor,grande,1000000,1000000,26,0.036210500,true
rust,melhor,grande,1000000,1000000,27,0.035703300,true
rust,melhor,grande,1000000,1000000,28,0.036439100,true
rust,melhor,grande,1000000,1000000,29,0.036062400,true
rust,melhor,grande,1000000,1000000,30,0.035077100,true
rust,medio,grande,1000000,1000000,1,0.048152900,true
rust,medio,grande,1000000,1000000,2,0.048606600,true
rust,medio,grande,1000000,1000000,3,0.050125000,true
rust,medio,grande,1000000,1000000,4,0.048613000,true
rust,medio,grande,1000000,1000000,5,0.048386600,true
rust,medio,grande,1000000,1000000,6,0.048238100,true
rust,medio,grande,1000000,1000000,7,0.048935600,true
rust,medio,grande,1000000,1000000,8,0.048175100,true
rust,medio,grande,1000000,1000000,9,0.049438900,true
rust,medio,grande,1000000,1000000,10,0.052011700,true
rust,medio,grande,1000000,1000000,11,0.049479900,true
rust,medio,grande,1000000,1000000,12,0.047744700,true
rust,medio,grande,1000000,1000000,13,0.048560400,true
rust,medio,grande,1000000,1000000,14,0.052246500,true
rust,medio,grande,1000000,1000000,15,0.052446900,true
rust,medio,grande,1000000,1000000,16,0.056882300,true
rust,medio,grande,1000000,1000000,17,0.060358100,true
rust,medio,grande,1000000,1000000,18,0.055768900,true
rust,medio,grande,1000000,1000000,19,0.051196200,true
rust,medio,grande,1000000,1000000,20,0.049113400,true
rust,medio,grande,1000000,1000000,21,0.053880700,true
rust,medio,grande,1000000,1000000,22,0.064588900,true
rust,medio,grande,1000000,1000000,23,0.060918000,true
rust,medio,grande,1000000,1000000,24,0.048156700,true
rust,medio,grande,1000000,1000000,25,0.051709900,true
rust,medio,grande,1000000,1000000,26,0.048061500,true
rust,medio,grande,1000000,1000000,27,0.050224200,true
rust,medio,grande,1000000,1000000,28,0.050310300,true
rust,medio,grande,1000000,1000000,29,0.049142500,true
rust,medio,grande,1000000,1000000,30,0.049453600,true
rust,pior,grande,1000000,1000000,1,0.036981800,true
rust,pior,grande,1000000,1000000,2,0.036656700,true
rust,pior,grande,1000000,1000000,3,0.036392700,true
rust,pior,grande,1000000,1000000,4,0.037697100,true
rust,pior,grande,1000000,1000000,5,0.037280100,true
