linguagem,cenario_k,n,k,execucao,tempo_segundos,ordenado
rust,k_pequeno,100000,100,1,0.000094500,true
rust,k_pequeno,100000,100,2,0.000091600,true
rust,k_pequeno,100000,100,3,0.000096800,true
rust,k_pequeno,100000,100,4,0.000089800,true
rust,k_pequeno,100000,100,5,0.000090400,true
rust,k_pequeno,100000,100,6,0.000090200,true
rust,k_pequeno,100000,100,7,0.000092900,true
rust,k_pequeno,100000,100,8,0.000089500,true
rust,k_pequeno,100000,100,9,0.000090500,true
rust,k_pequeno,100000,100,10,0.000095100,true
rust,k_pequeno,100000,100,11,0.000090800,true
rust,k_pequeno,100000,100,12,0.000089700,true
rust,k_pequeno,100000,100,13,0.000090300,true
rust,k_pequeno,100000,100,14,0.000096200,true
rust,k_pequeno,100000,100,15,0.000090600,true
rust,k_pequeno,100000,100,16,0.000089200,true
rust,k_pequeno,100000,100,17,0.000093100,true
rust,k_pequeno,100000,100,18,0.000089500,true
rust,k_pequeno,100000,100,19,0.000090900,true
rust,k_pequeno,100000,100,20,0.000089300,true
rust,k_pequeno,100000,100,21,0.000091300,true
rust,k_pequeno,100000,100,22,0.000089100,true
rust,k_pequeno,100000,100,23,0.000091000,true
rust,k_pequeno,100000,100,24,0.000089300,true
rust,k_pequeno,100000,100,25,0.000118500,true
rust,k_pequeno,100000,100,26,0.000167600,true
rust,k_pequeno,100000,100,27,0.000112300,true
rust,k_pequeno,100000,100,28,0.000378600,true
rust,k_pequeno,100000,100,29,0.000105100,true
rust,k_pequeno,100000,100,30,0.000089700,true
rust,k_igual_n,100000,100000,1,0.000767000,true
rust,k_igual_n,100000,100000,2,0.000674100,true
rust,k_igual_n,100000,100000,3,0.000638400,true
rust,k_igual_n,100000,100000,4,0.000580200,true
rust,k_igual_n,100000,100000,5,0.000588300,true
rust,k_igual_n,100000,100000,6,0.000602200,true
rust,k_igual_n,100000,100000,7,0.000579700,true
rust,k_igual_n,100000,100000,8,0.000578300,true
rust,k_igual_n,100000,100000,9,0.000577500,true
rust,k_igual_n,100000,100000,10,0.000568200,true
rust,k_igual_n,100000,100000,11,0.000602200,true
rust,k_igual_n,100000,100000,12,0.000581900,true
rust,k_igual_n,100000,100000,13,0.000574900,true
rust,k_igual_n,100000,100000,14,0.000987400,true
rust,k_igual_n,100000,100000,15,0.000649100,true
rust,k_igual_n,100000,100000,16,0.000592300,true
rust,k_igual_n,100000,100000,17,0.000578200,true
rust,k_igual_n,100000,100000,18,0.000656300,true
rust,k_igual_n,100000,100000,19,0.000740400,true
rust,k_igual_n,100000,100000,20,0.000592100,true
rust,k_igual_n,100000,100000,21,0.000594300,true
rust,k_igual_n,100000,100000,22,0.000608700,true
rust,k_igual_n,100000,100000,23,0.000596800,true
rust,k_igual_n,100000,100000,24,0.000594000,true
rust,k_igual_n,100000,100000,25,0.000616400,true
rust,k_igual_n,100000,100000,26,0.000615400,true
rust,k_igual_n,100000,100000,27,0.000607800,true
rust,k_igual_n,100000,100000,28,0.000592800,true
rust,k_igual_n,100000,100000,29,0.000675300,true
rust,k_igual_n,100000,100000,30,0.000682700,true
rust,k_grande,100000,1000000,1,0.004775500,true
rust,k_grande,100000,1000000,2,0.005737200,true
rust,k_grande,100000,1000000,3,0.005036600,true
rust,k_grande,100000,1000000,4,0.004979800,true
rust,k_grande,100000,1000000,5,0.004868800,true
rust,k_grande,100000,1000000,6,0.004434400,true
rust,k_grande,100000,1000000,7,0.004407000,true
rust,k_grande,100000,1000000,8,0.005084400,true
rust,k_grande,100000,1000000,9,0.004242100,true
rust,k_grande,100000,1000000,10,0.004029400,true
rust,k_grande,100000,1000000,11,0.004886700,true
rust,k_grande,100000,1000000,12,0.004509500,true
rust,k_grande,100000,1000000,13,0.004523800,true
rust,k_grande,100000,1000000,14,0.005228900,true
rust,k_grande,100000,1000000,15,0.004455000,true
rust,k_grande,100000,1000000,16,0.005098700,true
rust,k_grande,100000,1000000,17,0.004876200,true
rust,k_grande,100000,1000000,18,0.004919200,true
rust,k_grande,100000,1000000,19,0.006387800,true
rust,k_grande,100000,1000000,20,0.005994600,true
rust,k_grande,100000,1000000,21,0.006149000,true
rust,k_grande,100000,1000000,22,0.004591500,true
rust,k_grande,100000,1000000,23,0.006294000,true
rust,k_grande,100000,1000000,24,0.004568800,true
rust,k_grande,100000,1000000,25,0.005920000,true
rust,k_grande,100000,1000000,26,0.006206200,true
rust,k_grande,100000,1000000,27,0.005886000,true
rust,k_grande,100000,1000000,28,0.005820700,true
rust,k_grande,100000,1000000,29,0.004621400,true
rust,k_grande,100000,1000000,30,0.005702100,true
