caso,n,k,execucao,seed,checksum_python,checksum_rust,checksum_igual
melhor,1000000,100,1,1010085,25246267278706,25246267278706,True
melhor,1000000,100,2,1010086,25211915143553,25211915143553,True
melhor,1000000,100,3,1010087,25251320391636,25251320391636,True
melhor,1000000,100,4,1010088,25238303012451,25238303012451,True
melhor,1000000,100,5,1010089,25261978555722,25261978555722,True
melhor,1000000,100,6,1010090,25241673333289,25241673333289,True
melhor,1000000,100,7,1010091,25261633811936,25261633811936,True
melhor,1000000,100,8,1010092,25265017831975,25265017831975,True
melhor,1000000,100,9,1010093,25253789561434,25253789561434,True
melhor,1000000,100,10,1010094,25238625458377,25238625458377,True
melhor,1000000,100,11,1010095,25239665249092,25239665249092,True
melhor,1000000,100,12,1010096,25268197042495,25268197042495,True
melhor,1000000,100,13,1010097,25241261235238,25241261235238,True
melhor,1000000,100,14,1010098,25246322460153,25246322460153,True
melhor,1000000,100,15,1010099,25251910621372,25251910621372,True
melhor,1000000,100,16,1010100,25250669626911,25250669626911,True
melhor,1000000,100,17,1010101,25262125764014,25262125764014,True
melhor,1000000,100,18,1010102,25262964103009,25262964103009,True
melhor,1000000,100,19,1010103,25237092638600,25237092638600,True
melhor,1000000,100,20,1010104,25250248544467,25250248544467,True
melhor,1000000,100,21,1010105,25254856400438,25254856400438,True
melhor,1000000,100,22,1010106,25272377073257,25272377073257,True
melhor,1000000,100,23,1010107,25252840889936,25252840889936,True
melhor,1000000,100,24,1010108,25233521309187,25233521309187,True
melhor,1000000,100,25,1010109,25243498275858,25243498275858,True
melhor,1000000,100,26,1010110,25253625470657,25253625470657,True
melhor,1000000,100,27,1010111,25241554656504,25241554656504,True
melhor,1000000,100,28,1010112,25250880983567,25250880983567,True
melhor,1000000,100,29,1010113,25227464029954,25227464029954,True
melhor,1000000,100,30,1010114,25271672424089,25271672424089,True
medio,1000000,1000000,1,2009991,249924739777369848,249924739777369848,True
medio,1000000,1000000,2,2009992,249907750457983575,249907750457983575,True
medio,1000000,1000000,3,2009993,250092034670806198,250092034670806198,True
medio,1000000,1000000,4,2009994,249843033003940117,249843033003940117,True
medio,1000000,1000000,5,2009995,249932233038018356,249932233038018356,True
medio,1000000,1000000,6,2009996,250036331076082963,250036331076082963,True
medio,1000000,1000000,7,2009997,249837717278163762,249837717278163762,True
medio,1000000,1000000,8,2009998,250381262211433617,250381262211433617,True
medio,1000000,1000000,9,2009999,249806559426746352,249806559426746352,True
medio,1000000,1000000,10,2010000,250251441426615951,250251441426615951,True
medio,1000000,1000000,11,2010001,250056096220867502,250056096220867502,True
medio,1000000,1000000,12,2010002,250091345320988365,250091345320988365,True
medio,1000000,1000000,13,2010003,250086574711410476,250086574711410476,True
