linguagem,caso,tamanho_label,n,k,media_segundos,desvio_padrao,minimo,maximo,execucoes,complexidade_teorica,velocidade_elementos_por_segundo,constante_c,tempo_teorico_ajustado
python,melhor,pequena,1000,1000,0.00016953333333333335,2.2484083770269706e-05,0.000153,0.0002457,30,2000,5898545.025560361,9.899604178311323e-08,0.00019799208356622647
python,melhor,media,10000,10000,0.0017231233333333334,0.0002884890551719822,0.0015466,0.002952,30,20000,5803415.1163488,9.899604178311323e-08,0.0019799208356622647
python,melhor,grande,1000000,1000000,0.19799467999999998,0.01210718004729083,0.1845118,0.2359244,30,2000000,5050640.754589972,9.899604178311323e-08,0.19799208356622647
python,medio,pequena,1000,1000,0.00018095333333333332,2.6540323690738875e-05,0.0001649,0.0002668,30,2000,5526286.703754191,1.734225653142366e-07,0.00034684513062847324
python,medio,media,10000,10000,0.0017074366666666666,0.00012838695412114795,0.0016152,0.0022392,30,20000,5856732.60696834,1.734225653142366e-07,0.0034684513062847324
python,medio,grande,1000000,1000000,0.3468629066666667,0.04597330171854196,0.2599278,0.492097,30,2000000,2882983.3942462876,1.734225653142366e-07,0.3468451306284732
python,pior,pequena,1000,1000,0.00015921,1.2126953450887822e-05,0.0001526,0.0002089,30,2000,6281012.499214874,1.2764935202044596e-07,0.00025529870404089193
python,pior,media,10000,10000,0.0016003333333333334,6.875168378293363e-05,0.001538,0.0018366,30,20000,6248698.187877526,1.2764935202044596e-07,0.0025529870404089193
python,pior,grande,1000000,1000000,0.2553083266666667,0.028928945307627074,0.2215279,0.3237279,30,2000000,3916832.690324318,1.2764935202044596e-07,0.25529870404089194
rust,melhor,pequena,1000,1000,4.5e-06,3.4419320957456635e-06,2.2e-06,1.84e-05,30,2000,222222222.2222222,3.105329061764762e-09,6.210658123529525e-06
rust,melhor,media,10000,10000,4.875666666666667e-05,9.13891577864658e-06,3.62e-05,7.82e-05,30,20000,205100157.2434539,3.105329061764762e-09,6.210658123529524e-05
rust,melhor,grande,1000000,1000000,0.006210793333333334,0.001651014732266469,0.004066,0.009893,30,2000000,161010026.6310584,3.105329061764762e-09,0.006210658123529524
rust,medio,pequena,1000,1000,9.083333333333333e-06,4.549504204388334e-06,6.4e-06,2.52e-05,30,2000,110091743.11926605,1.0126714593492724e-08,2.0253429186985448e-05
rust,medio,media,10000,10000,7.590333333333333e-05,4.705937799707157e-06,7.08e-05,9.58e-05,30,20000,131746519.6961047,1.0126714593492724e-08,0.0002025342918698545
rust,medio,grande,1000000,1000000,0.020254706666666667,0.004563768643380034,0.0155507,0.0356066,30,2000000,49371240.79144074,1.0126714593492724e-08,0.020253429186985448
rust,pior,pequena,1000,1000,4.706666666666666e-06,2.9117281671784256e-07,4e-06,5.3e-06,30,2000,212464589.2351275,3.631582096874882e-09,7.263164193749764e-06
rust,pior,media,10000,10000,4.164e-05,8.990132521749647e-06,3.03e-05,8.68e-05,30,20000,240153698.36695483,3.631582096874882e-09,7.263164193749764e-05
rust,pior,grande,1000000,1000000,0.007263476666666667,0.0008039641944691974,0.0058829,0.0096752,30,2000000,137675117.01237652,3.631582096874882e-09,0.007263164193749764
